temperature_k,gap_mev,gamma_reported,c_ev,effective_mass_ratio_reported,effective_mass_ratio_reproduced,mass_closure_fractional_error,hyperbolic_velocity_m_per_s,hyperbolic_velocity_relative_to_1k,gamma_velocity_relative_to_1k,velocity_convention_fractional_difference,reduced_velocity_m_per_s,reduced_velocity_relative_to_1k,gap_only_fixed_velocity_mass_ratio,c_only_fixed_velocity_mass_ratio,gap_plus_hyperbolic_velocity_mass_ratio,complete_hyperbolic_mass_ratio,c_over_half_gap
100.0,139.17,46.7964,0.0662,1.1483,1.1491678207469531,0.0007557439231498098,1125814.9665677657,0.9901765782585045,0.9898026302359378,0.0003778005949301999,1154239.251305904,1.0328945015180553,1.225088028169014,1.1258503401360545,1.2495165055210418,1.1491678207469531,0.9513544585758426
150.0,158.85,46.1544,0.0712,1.2529,1.253155012026477,0.00020353741438028372,1117757.2558892223,0.9830896620020959,0.9829896295081494,0.0001017635292821506,1180554.6949532453,1.0564434122119122,1.3983274647887325,1.2108843537414966,1.4468470710852193,1.253155012026477,0.8964431853950268
200.0,178.73,45.593,0.0767,1.3669,1.366580142464285,-0.00023400214771751582,1110695.508846473,0.976878715504703,0.9769930314264663,-0.00011700791928526133,1198894.7644769647,1.0728553969430468,1.5733274647887325,1.304421768707483,1.6486855426758724,1.366580142464285,0.8582778492698484
250.0,198.68,45.2441,0.0832,1.4938,1.4938234890234945,1.572434294705438e-05,1106575.73088085,0.9732552891244144,0.9732476373146834,7.862140566805564e-06,1209153.8299931828,1.0820359306585883,1.7489436619718313,1.4149659863945578,1.8463850490926335,1.4938234890234945,0.8375276827058585
300.0,218.66,45.1167,0.0908,1.6342,1.634882080332593,0.0004173787373595861,1105238.5559086974,0.9720792172318053,0.9718764181144767,0.00020866759759652354,1212782.0948175984,1.0852827573307449,1.9248239436619718,1.54421768707483,2.0369843675932247,1.634882080332593,0.8305131254001648
350.0,238.65,45.346,0.1,1.7913,1.7914262251453752,7.046566481072603e-05,1107851.4810031734,0.9743773366440758,0.9743430083848862,3.523221175116831e-05,1210172.4563678408,1.0829474692155165,2.100792253521127,1.7006802721088436,2.2127317082746476,1.7914262251453752,0.8380473496752567
400.0,258.66,46.0193,0.1115,1.9672,1.9682160565255886,0.0005164988438330909,1116294.7478227806,0.9818033571687896,0.9815499051958785,0.0002582160841435588,1202239.7594321568,1.0758487338035934,2.2769366197183105,1.8962585034013606,2.3621197797006257,1.9682160565255886,0.8621356220521146
450.0,278.67,47.3751,0.1263,2.1657,2.1656642241108397,-1.6519319001040422e-05,1132317.5343390286,0.9958957155029422,0.9959039413643647,-8.259693611845087e-06,1189314.3753192693,1.0642821905889992,2.453080985915493,2.1479591836734695,2.473341919892276,2.1656642241108397,0.9064484874582839
500.0,298.69,49.8338,0.1468,2.3919,2.392984921334298,0.00045358139315943014,1161601.6598749792,1.0216516843624437,1.0214200620569838,0.0002267649854001963,1171627.4542242324,1.048454689031434,2.6293133802816904,2.4965986394557826,2.519049147469969,2.392984921334298,0.9829589206200409
550.0,318.71,54.0581,0.1763,2.6491,2.6492896714163936,7.159843584370051e-05,1209602.5268243745,1.0638693982859804,1.0638313146385856,3.5798577152856836e-05,1150004.0678562925,1.0291045613535055,2.8055457746478876,2.9982993197278915,2.478795650160177,2.6492896714163936,1.1063349126164852
600.0,338.74,61.7125,0.2238,2.9445,2.945946484893329,0.0004912497515126013,1292676.8382294145,1.136934901810953,1.1366557451644679,0.00024559471737384264,1124548.4466211777,1.0063250802565593,2.9818661971830993,3.806122448979592,2.3068372432315076,2.945946484893329,1.3213674204404557
